TP,P_0,P_1,P_2,P_3,P_4
T_0,15.613132490447644,26.389350137379502,18.985357519300795,18.36308507425605,14.207265070504302
T_1,8.682101367115097,9.081119320881777,11.556753584767701,12.70991965177419,5.87082845694417
T_2,13.513661577288087,22.313142992810864,27.568800363344167,32.03659315963824,32.44423289956479
T_3,15.659171561898852,25.651681813076742,14.393188957041321,20.074722405189398,10.979056925913785
T_4,18.885184475186826,24.786302672223464,31.692001358711416,19.405571356179472,19.247007442657697
T_5,25.910275985857794,27.298811129960974,31.78555912180917,27.256642589552992,20.173054978551427
T_6,35.18621235998543,28.739702898905833,30.906356169147998,19.894113566277078,14.042996014716538
T_7,8.682107737814956,17.233492187326775,10.622783732464372,23.21129203779885,17.463898010126364
T_8,27.733749819092495,21.63973532469621,15.165872187361343,10.925223479047634,22.990470522639896
T_9,19.303558347830553,27.423698922514788,12.023949823963259,14.237834841055998,20.673810089778144
T_10,25.52018009073779,10.740335953666316,28.81214286942888,12.924169417218078,19.084874374547674
T_11,6.204839976240361,2.2146129621024,2.5027942240814687,4.350542885863145,4.289279418417909
T_12,10.68782959459501,7.505893223741919,19.190792005712904,10.437121180295886,14.36877876100083
T_13,22.84939123950881,20.692644822814863,21.796382137156073,25.548834427879743,26.93104907829466
T_14,19.94907765871266,20.938279912207285,14.451632491927105,23.18339302795652,12.743567510248994
T_15,18.670434181494397,9.651526230775914,12.4413896127331,9.08125820284994,10.796992408593532
T_16,24.387428849757658,21.889365939305208,13.793632528283442,12.373906568278542,15.843824644502883
T_17,29.898427138303212,26.877425727058966,24.629365080511363,31.13126060869896,24.48549083087007
T_18,16.421802436444324,10.603491372906431,9.782232627961692,12.34345588406891,14.486422833941335
T_19,16.41774162032175,13.150061078214321,21.54948995898558,11.709848605108526,9.607082834037246
T_20,16.48347048268169,26.2674456800874,26.98993269660448,24.824378178847795,17.31743258651944
T_21,12.198397247241678,9.854312509947345,19.79350533109361,20.577180848152675,11.220833477935866
T_22,2.7853919462080947,4.911737737675683,2.5477382234476575,2.048326042046038,4.1242951185445715
T_23,20.404300024810468,12.73462244124868,11.683182896252568,13.422435353750743,24.908532933298645
T_24,3.039687753582826,5.742831840783342,6.649246358956757,5.930426662084205,6.086552272765971
T_25,29.843184470149545,31.735203996300264,22.362034453727794,11.986278079674587,21.521900169751635
T_26,10.70555444348186,9.410884981764635,16.65435282070996,24.147329707133405,15.319070725884519
T_27,16.8428015812975,9.47834773669332,16.88684197634786,21.14428211819888,25.30056347441498
T_28,9.992995627889812,21.941860692965022,17.73495078192576,23.11654723579559,8.419045465819634
T_29,20.522904315893623,17.200355757785434,10.521674668243321,16.227073464501384,17.581357087829566
T_30,9.133254106720099,22.888878645421798,9.411636579243812,25.114233470622615,13.480067300565956
T_31,8.381362286022819,7.837880472555911,4.885381127906725,6.6863483565854605,3.9853073931938994
T_32,19.295484906399686,20.164663397607804,27.80822119112483,15.19198523722779,28.03408083098397
T_33,14.296975572058516,16.883118078437356,22.068704992186063,11.576013728146698,22.349550703379716
T_34,27.9590626980577,18.59349375952666,13.669911029892406,25.15223865206734,20.953917685197318
T_35,13.182340103999572,27.00727116901181,15.011613510086725,18.141283193332537,23.617317356722772
T_36,25.408398049833714,31.113722539508686,30.3535761635249,24.358603260619983,31.30450434497942
T_37,13.310698786607006,15.943591952484798,8.824526661319823,7.451165713266686,8.82839405186995
T_38,26.449416712041995,14.716789323334215,14.304357846672865,16.86277720405584,20.561221712246713
T_39,10.534595465476633,9.530988850058817,11.831809360626606,12.446253280173103,9.19633593988977
T_40,3.4704914453848597,6.972973512700598,6.454302655367723,5.911233972922929,3.7219646633769363
T_41,29.924023116241116,14.721722467721928,20.010522053376153,14.214902687090273,19.08175738122913
T_42,13.82734051032777,28.198172011181214,28.44817423352683,14.473221382417291,28.702534082155953
T_43,29.56857971745977,34.085808361863826,14.889433384836618,32.8913569914516,16.688479409849883
T_44,9.72873374569186,15.594196004699146,5.396439048138246,9.206308365649825,5.9594181441643945
T_45,14.962222235155815,12.384636024558613,15.705296348754073,12.574064358891828,12.153000655857177
T_46,21.992554206225904,20.94650673757661,30.185032477530136,16.979506134264824,24.539747447341497
T_47,28.448584946982777,23.71328326905863,28.09204656693295,21.62392774782826,24.464799743251607
T_48,21.206325599875562,14.895970344554964,21.699737806975058,24.95814146023431,26.946279666689897
T_49,21.940497046661108,16.33610869928726,15.92429054922146,16.870500543624665,15.164985892534878
T_50,4.309962750706975,6.224939959802592,3.1633656701209434,5.7563693830639995,4.404285876638797
T_51,24.44734536736715,29.413645233735263,29.781183020253025,29.137417536049732,24.853012649861306
T_52,23.043938595271914,12.809273115910546,15.425196022832814,24.91534521198608,13.634587351197432
T_53,14.71046165860175,21.595131324546287,19.739473205717875,18.53533802369327,22.181142795019113
T_54,17.1427479877087,24.097853367111398,16.8086403348263,13.428049601020453,22.46538035584592
T_55,8.124800223784552,8.304080305097774,5.846280439695268,3.422242196083876,3.4840088413674515
T_56,27.145014077049026,26.475547462679295,35.204306803341765,25.27624495460649,20.268509143694065
T_57,7.021103405097533,10.352648371596288,11.02691138456593,17.479876105527204,8.317116441767014
T_58,28.264715720795813,12.504279023914265,21.226484303639396,12.709247667940431,13.002873565575278
T_59,2.1335181724329892,2.984803835373352,2.2328656862031346,3.753930715663945,1.6535260832209846
T_60,11.393605138528015,24.00906080774576,16.75121672846872,17.238549341267458,21.749912763371565
T_61,8.964587680093533,8.01628481205675,3.40822156916543,5.8797208455605094,8.171875835900977
T_62,12.614269313434507,9.44180675164807,18.368405443002928,20.963360846320022,11.963182477156924
T_63,26.39011749939712,34.18567944269869,27.384469124722685,29.839097034810408,25.36951698005656
T_64,22.109178372255013,24.971148847290635,14.804015148768805,15.307164397928354,30.255878074451125
T_65,30.884694083983213,25.190339307390808,24.85527675415331,20.080540951620222,20.69357854023724
T_66,1.667484864322841,2.610274063130337,1.832877050745011,3.4737118981823154,2.985810904208995
T_67,16.819940783318394,12.833089688588496,19.823654051770887,12.222266380200601,33.97964613871041
T_68,11.803313325164893,19.1696059907167,15.989421245965094,12.019509353223619,8.685201222628741
T_69,13.087040989413659,14.16898969652163,14.86948059916805,17.78206339416157,7.057641225376059
T_70,13.891842122062442,25.46682436247609,30.23680144045101,24.587903277095872,17.237606972518222
T_71,17.377678524137707,18.714810664990484,26.200247736049448,20.42201643381466,18.37609041317218
T_72,21.09451872088629,16.813618134985806,10.467272610015886,13.462430404376219,20.301789889782192
T_73,16.635216788936233,18.30908790328374,17.76929588283505,13.129384002782853,29.61462070528949
T_74,5.46590589520762,9.21945765567114,10.29341058404587,6.127067379693591,8.853896627578777
T_75,13.819641246611711,8.21008657787914,8.165658217798724,17.263511527246706,13.89831419329292
T_76,11.781359624444777,19.036728995448364,12.800526552185527,19.067613452593523,17.83793388759593
T_77,24.714601562207175,27.643761231374356,20.133893576169804,30.16223775162912,32.67532603106787
T_78,21.14498794458551,9.788185662691934,15.275779297735072,10.068837690609197,19.41673982793177
T_79,12.480841943545764,11.504509793028237,19.89045589661936,28.199793749748462,27.554312393106624
T_80,12.565545514995295,25.681385455080502,28.557955973790285,26.455375071321587,13.83981970022057
T_81,28.227020124461514,16.789801446268065,13.496770797685445,29.086638953390114,22.415889468407332
T_82,17.769581358062055,10.81808330639497,9.635025100260162,20.764031179004178,14.128570718548866
T_83,15.981096834422003,13.36994642492273,18.099771564159923,26.109018754118466,10.675875432387112
T_84,19.565986582159628,11.86609238195566,24.51126847677166,23.049644500232716,15.876839952614127
T_85,15.707729950526591,23.012276537048997,26.90671203061821,11.078600859884668,13.337992015701095
T_86,23.231262783105443,24.534382859362623,14.995358382039404,14.223969076486027,21.03599942164167
T_87,9.090378370810583,15.287490291172206,15.993151352562464,13.9602525846574,9.80160325661418
T_88,12.884284122726317,13.096806779657214,18.01306506321202,23.802676492863316,11.795519159585218
T_89,8.133827619538835,8.930356595726236,11.153551494533819,21.557307458715258,21.14403626318335
T_90,8.872879191230199,13.349375432715277,19.3157931261856,13.750145889365918,14.89890141136955
T_91,16.301296180050265,18.21630623981887,14.252656693232986,11.561027944846618,16.412543800187578
T_92,28.56994410759267,17.451614051500226,22.04924016104178,12.134445909393959,28.709307753900852
T_93,8.0606361935487,7.997438174848634,7.602171396890099,7.748244869750629,6.508853020201338
T_94,24.34475494002905,16.847613898872943,23.40856000303008,19.77506145945631,13.13589888777597
T_95,8.512340224325179,7.031006287270678,5.528179523431094,9.465268862817073,12.380584486487802
T_96,25.460157420425304,24.240410124766594,26.263349053105195,12.788946428084936,15.427934292977602
T_97,24.121817306728005,17.380499611257083,15.895380671128006,12.920244138964758,33.04753940890704
T_98,9.908981353432647,7.357094262244535,4.011932962135768,8.416537233620105,5.876130734213953
T_99,0.7671392894949344,1.2784800016427755,1.4393730101722018,1.5665735065200619,1.002914838924874
